R2-PINH,157.48,16.51,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,90.17,72.39,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,152.40,58.42,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,152.40,57.15,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,123.19,53.34,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,63.50,31.75,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,62.23,31.75,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,26.67,63.50,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,40.64,44.45,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,38.10,44.45,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,34.29,44.45,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,45.72,44.45,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,46.99,119.10,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,16.51,118.11,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,85.09,74.93,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,64.77,118.11,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,74.93,36.83,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,41.91,118.11,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,157.49,22.86,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,58.42,24.13,0.00,,SJ
TP1,74.93,110.49,0.00,TPTP20R,TP20R
TP10,133.35,16.51,0.00,TPTP20R,TP20R
TP11,129.54,16.51,0.00,TPTP20R,TP20R
TP12,125.73,16.51,0.00,TPTP20R,TP20R
TP13,31.75,19.05,0.00,TPTP20R,TP20R
TP14,38.10,19.05,0.00,TPTP20R,TP20R
TP15,26.67,19.05,0.00,TPTP20R,TP20R
TP16,35.56,22.86,0.00,TPTP20R,TP20R
TP17,30.48,22.86,0.00,TPTP20R,TP20R
TP2,80.01,110.49,0.00,TPTP20R,TP20R
TP3,85.09,110.49,0.00,TPTP20R,TP20R
TP4,74.93,105.41,0.00,TPTP20R,TP20R
TP5,80.01,105.41,0.00,TPTP20R,TP20R
TP6,85.09,105.41,0.00,TPTP20R,TP20R
TP7,128.27,73.66,0.00,TPTP20R,TP20R
TP8,133.35,73.66,0.00,TPTP20R,TP20R
TP9,138.43,73.66,0.00,TPTP20R,TP20R
U1,31.75,71.12,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,11.88,69.85,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,82.55,64.77,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,135.89,60.96,0.00,MAX17048G+T10,SON50P200X200X80-9N
